latitude,longitude,rain_last_1h_peak,rain_last_24h,rain_last_72h,rain_last_7days,rain_next_72h,elevation,slope,distanceFromRiver,distanceFromSea,riverInfluenceScore,coastalInfluenceScore,soilFactor,terrainRoughness,urbanFloodFactor,historicalFloodScore,susceptibilityScore,triggerFactor,riskProbability,confidenceScore,riskLevel,createdAt
34.153,77.577,0,0,0,0,0,3410,1.1909104226815443,1.116330184471449,999,3,0,1.2,8,1,1,2.24,0.3,30,40,LOW,Fri Mar 27 2026 02:06:30 GMT+0530 (India Standard Time)
23.26,77.413,0,0,0,0,0,493,0.33418701563369774,5.358852031866827,999,2,0,1.2,5,1,1,5.28,0.3,60,40,MEDIUM,Fri Mar 27 2026 02:07:21 GMT+0530 (India Standard Time)
31.105,77.173,0,0,0,0,0,2185,5.77435026383744,6.880912006373081,999,2,0,1.2,74,1,0,1.04,0.3,18,40,LOW,Fri Mar 27 2026 02:09:14 GMT+0530 (India Standard Time)
25.594,85.138,0,0,0,0,0,56,0.19098098051079335,3.550435544760524,40,2,2,1.2,2,1,1,10.879999999999999,0.3,95,60,HIGH,Fri Mar 27 2026 02:09:22 GMT+0530 (India Standard Time)
32.243,77.189,0,0,0,0,0,1893,0.6206054541260542,0.3731954645326408,999,3,0,1.2,13,1,2,3.4400000000000004,0.3,42,40,MEDIUM,Fri Mar 27 2026 02:10:31 GMT+0530 (India Standard Time)
22.72,75.858,0,0,0,0,0,552,0.19098098051079335,1.0333713117219463,999,3,0,1.2,3,1,1,6.080000000000001,0.3,68,60,MEDIUM,Fri Mar 27 2026 02:10:45 GMT+0530 (India Standard Time)
30.733,76.779,0,0,0,0,0,346,0.23872622560312784,6.187102113019056,999,2,0,1.2,3,1,1,5.28,0.3,60,40,MEDIUM,Fri Mar 27 2026 02:12:07 GMT+0530 (India Standard Time)
26.145,91.736,0,0,0,0,0,50,0.09549261217984373,2,40,2,2,1.2,1,1,1,10.879999999999999,0.3,95,60,HIGH,Fri Mar 27 2026 02:12:42 GMT+0530 (India Standard Time)
17.385,78.487,0,0,0,0,0,506,0.71604610513551,999,999,0,0,1.2,8,1,0,3.08,0.3,38,40,LOW,Fri Mar 27 2026 02:13:17 GMT+0530 (India Standard Time)
13.083,80.271,0,0,0,0,0,11,0.33416474458227835,0.5409044378956213,10,3,3,1.2,7,1,1,13.48,0.3,95,60,HIGH,Fri Mar 27 2026 02:14:03 GMT+0530 (India Standard Time)
24.585,73.713,0,0,0,0,0,567,0.28645661955796903,999,999,0,0,1.2,5,1,1,3.6799999999999997,0.3,44,40,MEDIUM,Fri Mar 27 2026 02:14:27 GMT+0530 (India Standard Time)
9.931,76.267,0,0,0,0,0,11,0.14323785727217825,5.000096781762846,10,2,3,1.2,3,1,2,13.379999999999999,0.3,95,60,HIGH,Fri Mar 27 2026 02:15:53 GMT+0530 (India Standard Time)
12.972,77.595,0,0,0,0,0,911,0.09549155118225637,3.1627117662986493,999,2,0,1.2,6,1,2,3.4400000000000004,0.3,42,40,MEDIUM,Fri Mar 27 2026 02:15:54 GMT+0530 (India Standard Time)
26.912,75.787,0,0,0,0,0,431,0.28646934884174297,3.1093127708705537,999,2,0,1.2,5,1,0,5.28,0.3,60,40,MEDIUM,Fri Mar 27 2026 02:16:31 GMT+0530 (India Standard Time)
27.024,74.218,0,0,0,0,0,343,0.09549155118225637,15,999,1,0,1.2,3,1,0,4.4799999999999995,0.3,52,40,MEDIUM,Fri Mar 27 2026 02:19:04 GMT+0530 (India Standard Time)
24.817,93.937,0,0,0,0,0,782,0.19098098051079335,5.568431519252543,999,2,0,1.2,1,1,0,4.4799999999999995,0.3,52,40,MEDIUM,Fri Mar 27 2026 02:19:29 GMT+0530 (India Standard Time)
