rain_last_1h_peak,rain_last_24h,rain_last_72h,rain_last_7days,rain_next_72h,elevation,slope,distanceFromRiver,distanceFromSea,riverInfluenceScore,coastalInfluenceScore,soilFactor,terrainRoughness,urbanFloodFactor,historicalFloodScore,susceptibilityScore,triggerFactor,riskLevel
0.0,0.0,0.0,0.0,0.0,3410,1.1909104226815443,1.116330184471449,999,3,0,1.2,8,1,1,2.24,0.3,LOW
0.0,0.0,0.0,0.0,0.0,493,0.3341870156336977,5.358852031866827,999,2,0,1.2,5,1,1,5.28,0.3,MEDIUM
0.0,0.0,0.0,0.0,0.0,2185,5.77435026383744,6.880912006373081,999,2,0,1.2,74,1,0,1.04,0.3,LOW
0.0,0.0,0.0,0.0,0.0,56,0.1909809805107933,3.550435544760524,40,2,2,1.2,2,1,1,10.88,0.3,HIGH
0.0,0.0,0.0,0.0,0.0,1893,0.6206054541260542,0.3731954645326408,999,3,0,1.2,13,1,2,3.4400000000000004,0.3,MEDIUM
0.0,0.0,0.0,0.0,0.0,552,0.1909809805107933,1.0333713117219463,999,3,0,1.2,3,1,1,6.080000000000001,0.3,MEDIUM
0.0,0.0,0.0,0.0,0.0,346,0.2387262256031278,6.187102113019056,999,2,0,1.2,3,1,1,5.28,0.3,MEDIUM
0.0,0.0,0.0,0.0,0.0,50,0.0954926121798437,2.0,40,2,2,1.2,1,1,1,10.88,0.3,HIGH
0.0,0.0,0.0,0.0,0.0,506,0.71604610513551,999.0,999,0,0,1.2,8,1,0,3.08,0.3,LOW
0.0,0.0,0.0,0.0,0.0,11,0.3341647445822783,0.5409044378956213,10,3,3,1.2,7,1,1,13.48,0.3,HIGH
0.0,0.0,0.0,0.0,0.0,567,0.286456619557969,999.0,999,0,0,1.2,5,1,1,3.68,0.3,MEDIUM
0.0,0.0,0.0,0.0,0.0,11,0.1432378572721782,5.000096781762846,10,2,3,1.2,3,1,2,13.38,0.3,HIGH
0.0,0.0,0.0,0.0,0.0,911,0.0954915511822563,3.1627117662986493,999,2,0,1.2,6,1,2,3.4400000000000004,0.3,MEDIUM
0.0,0.0,0.0,0.0,0.0,431,0.2864693488417429,3.1093127708705537,999,2,0,1.2,5,1,0,5.28,0.3,MEDIUM
0.0,0.0,0.0,0.0,0.0,343,0.0954915511822563,15.0,999,1,0,1.2,3,1,0,4.48,0.3,MEDIUM
0.0,0.0,0.0,0.0,0.0,782,0.1909809805107933,5.568431519252543,999,2,0,1.2,1,1,0,4.48,0.3,MEDIUM
0.0,0.0,0.0,0.0,0.0,214,0.8589407635506459,7.409529914205332,999,2,0,1.2,11,1,0,5.68,0.3,MEDIUM
0.0,0.0,0.0,0.0,0.0,214,0.8589407635506459,7.409529914205332,999,2,0,1.2,11,1,0,5.68,0.3,MEDIUM
0.0,0.0,0.0,0.0,0.0,495,0.0477463060899218,1.6011333698417765,999,3,0,1.2,5,1,1,6.080000000000001,0.3,MEDIUM
0.0,0.0,0.0,0.0,0.0,132,0.1909831023645127,4.270254928409533,90,2,1,1.2,3,1,0,8.579999999999998,0.3,HIGH
0.0,0.0,0.0,0.0,0.0,92,0.3342092896533702,4.9135925043874735,90,2,1,1.2,3,1,2,10.779999999999998,0.3,HIGH
0.0,0.0,0.0,0.0,0.0,104,0.5728559757857306,2.0,90,2,1,1.2,8,1,3,10.779999999999998,0.3,HIGH
0.0,0.0,0.0,0.0,0.0,308,0.1432378572721782,0.9583743487230244,999,3,0,1.2,1,1,2,7.280000000000001,0.3,HIGH
0.0,0.0,0.0,0.0,0.0,1630,5.234546034337219,2.565387911532433,999,2,0,1.2,90,1,1,1.04,0.3,LOW
0.0,0.0,0.0,0.0,0.0,51,0.1432378572721782,13.316176963555124,40,1,2,1.2,5,1,1,9.58,0.3,HIGH
0.0,0.0,0.0,0.0,0.0,81,0.0477463060899218,4.254305586801574,90,2,1,1.2,1,1,1,9.579999999999998,0.3,HIGH
0.0,0.0,0.0,0.0,0.0,6,0.1909809805107933,1.5012790419537767,10,3,3,1.2,5,1,1,13.48,0.3,HIGH
0.0,0.0,0.0,0.0,0.0,116,0.2864407095437759,2.0,90,2,1,1.2,5,1,3,11.38,0.3,HIGH
0.0,0.0,0.0,0.0,0.0,646,0.4296753839646473,1.3142369625434946,999,3,0,1.2,9,1,1,4.28,0.3,MEDIUM
0.0,0.0,0.0,0.0,0.0,124,0.2864661664147551,0.4449509492744999,90,3,1,1.2,4,1,1,9.88,0.3,HIGH
0.0,0.0,0.0,0.0,0.0,45,0.6683220700970076,5.077934443046849,40,2,2,1.2,6,1,1,10.88,0.3,HIGH
0.0,0.0,0.0,0.0,0.0,13,0.1432378572721782,3.92779022269899,10,2,3,1.2,2,1,1,12.18,0.3,HIGH
0.0,0.0,0.0,0.0,0.0,563,0.2864407095437759,2.1639540762163048,999,2,0,1.2,8,1,3,6.48,0.3,HIGH
0.0,0.0,0.0,0.0,0.0,2740,12.8286016194684,5.865103691056736,999,2,0,1.2,232,1,0,1.04,0.3,LOW
0.0,0.0,0.0,0.0,0.0,1587,0.1432378572721782,6.738418341784372,999,2,0,1.2,2,1,1,2.24,0.3,LOW
0.0,0.0,0.0,0.0,0.0,1435,0.3342092896533702,1.1276682186024098,999,3,0,1.2,15,1,1,2.24,0.3,LOW
23.0,77.0,98.0,228.0,26.0,810,5.008115582457922,6.166624445658734,999,2,0,1.2,44,1,1,1.04,2.2,MEDIUM
5.0,62.0,105.0,70.0,12.0,109,0.0954926121798437,9.16366565903066,90,1,1,1.2,1,1,2,9.48,1.2,HIGH
