city,datetime,aqi,pm25,pm10,co,no2,o3,so2
Delhi,2026-02-12 18:20:26.246651,,28.0,31.0,484.0,14.7,118.0,19.4
Mumbai,2026-02-12 18:20:28.077973,,74.3,75.9,461.0,30.2,316.0,31.9
Kolkata,2026-02-12 18:20:30.248427,,59.5,66.4,507.0,19.0,141.0,22.9
Chennai,2026-02-12 18:20:32.440482,,19.2,24.2,278.0,3.5,105.0,3.9
Bengaluru,2026-02-12 18:20:34.899132,,12.1,13.2,377.0,7.2,106.0,3.1
Hyderabad,2026-02-12 18:20:36.828146,,24.0,25.5,388.0,4.4,151.0,10.6
Pune,2026-02-12 18:20:38.598897,,26.4,27.7,295.0,3.0,160.0,6.2
Ahmedabad,2026-02-12 18:20:40.348728,,47.3,48.8,334.0,8.4,148.0,17.2
Jaipur,2026-02-12 18:20:42.076677,,28.6,38.3,371.0,3.6,150.0,8.4
Lucknow,2026-02-12 18:20:43.565294,,29.0,33.9,332.0,8.0,113.0,11.8
Chandigarh,2026-02-12 18:20:45.407262,,39.3,41.6,657.0,8.8,136.0,21.3
Bhopal,2026-02-12 18:20:47.123652,,50.4,52.2,320.0,4.0,126.0,9.9
Indore,2026-02-12 18:20:48.706174,,49.6,51.0,363.0,6.5,142.0,11.9
Nagpur,2026-02-12 18:20:50.229247,,54.7,56.3,347.0,20.1,164.0,46.2
Surat,2026-02-12 18:20:52.113202,,86.1,86.8,511.0,82.2,87.0,139.7
Patna,2026-02-12 18:20:54.325556,,65.2,71.5,457.0,12.1,134.0,18.7
Ranchi,2026-02-12 18:20:56.207677,,25.7,31.8,225.0,3.6,125.0,7.5
Guwahati,2026-02-12 18:20:57.978002,,29.4,31.8,588.0,7.4,109.0,4.1
Dehradun,2026-02-12 18:20:59.549694,,31.8,34.2,455.0,7.3,142.0,15.0
Shimla,2026-02-12 18:21:01.231722,,26.5,29.7,327.0,5.3,142.0,15.3
Srinagar,2026-02-12 18:21:03.033492,,36.4,42.3,1501.0,21.6,153.0,11.5
Varanasi,2026-02-12 18:21:04.997321,,39.0,45.3,490.0,8.5,118.0,11.4
Kanpur,2026-02-12 18:21:07.262224,,29.3,36.7,378.0,9.2,112.0,10.4
Amritsar,2026-02-12 18:21:08.798430,,37.4,40.5,723.0,14.7,119.0,11.4
Ludhiana,2026-02-12 18:21:10.525557,,44.0,45.2,496.0,11.9,87.0,6.9
Coimbatore,2026-02-12 18:21:12.761052,,16.9,18.9,220.0,2.8,137.0,4.7
Madurai,2026-02-12 18:21:15.024117,,19.3,22.1,221.0,4.4,117.0,4.3
Visakhapatnam,2026-02-12 18:21:17.382631,,41.4,44.0,523.0,21.8,136.0,15.9
Vijayawada,2026-02-12 18:21:19.547096,,39.8,41.1,277.0,5.3,137.0,13.9
Raipur,2026-02-12 18:21:21.794685,,61.5,63.3,424.0,19.0,123.0,25.8
Bhubaneswar,2026-02-12 18:21:24.366566,,65.9,68.5,516.0,15.7,139.0,20.4
Thiruvananthapuram,2026-02-12 18:21:26.288311,,35.5,39.7,241.0,2.9,175.0,6.0
Kochi,2026-02-12 18:21:28.094121,,34.0,35.6,250.0,5.6,167.0,4.6
Mysuru,2026-02-12 18:21:29.896400,,11.8,13.0,204.0,3.4,123.0,2.9
Jodhpur,2026-02-12 18:21:32.067851,,24.7,31.3,312.0,2.5,138.0,6.1
Udaipur,2026-02-12 18:21:33.541366,,36.8,39.1,281.0,1.6,149.0,11.0
Gwalior,2026-02-12 18:21:35.263051,,27.0,41.0,330.0,5.0,108.0,7.8
Jabalpur,2026-02-12 18:21:37.140642,,41.9,43.7,292.0,4.8,117.0,8.2
Agra,2026-02-12 18:21:39.055070,,34.2,42.5,399.0,14.8,111.0,11.9
Meerut,2026-02-12 18:21:40.922657,,28.1,30.6,388.0,13.4,120.0,19.2
Noida,2026-02-12 18:21:42.426716,,28.1,31.5,500.0,17.8,115.0,18.4
Gurugram,2026-02-12 18:21:44.289639,,28.1,31.5,706.0,17.8,115.0,18.4
Faridabad,2026-02-12 18:21:46.273302,,28.1,31.5,531.0,17.8,115.0,18.4
Ghaziabad,2026-02-12 18:21:48.467776,,28.1,30.6,452.0,13.4,120.0,19.2
Panipat,2026-02-12 18:21:50.638691,,27.6,48.4,461.0,9.6,99.0,11.5
Sonipat,2026-02-12 18:21:52.099759,,28.0,31.0,475.0,14.7,118.0,19.4
Hisar,2026-02-12 18:21:54.060757,,26.4,28.1,375.0,8.7,93.0,4.8
Rohtak,2026-02-12 18:21:56.045710,,27.0,28.2,521.0,9.6,101.0,6.3
Bareilly,2026-02-12 18:21:57.806130,,24.6,26.6,334.0,6.7,119.0,10.6
Aligarh,2026-02-12 18:21:59.327370,,26.7,30.5,465.0,9.4,141.0,18.1
Moradabad,2026-02-12 18:22:02.350641,,26.2,27.8,395.0,8.4,115.0,12.2
Prayagraj,2026-02-12 18:22:05.832424,,31.4,37.1,414.0,6.9,110.0,9.8
Gorakhpur,2026-02-12 18:22:08.494361,,34.2,37.5,280.0,6.4,128.0,12.3
Deoghar,2026-02-12 18:22:12.492516,,44.2,49.5,260.0,6.2,139.0,10.4
Dhanbad,2026-02-12 18:22:15.153256,,42.5,49.4,225.0,20.7,108.0,25.7
Siliguri,2026-02-12 18:22:19.348753,,43.0,47.7,883.0,9.6,145.0,8.6
Asansol,2026-02-12 18:22:21.398192,,42.3,48.3,315.0,14.7,118.0,21.8
Jamshedpur,2026-02-12 18:22:22.952302,,44.1,54.1,308.0,18.4,125.0,29.9
Cuttack,2026-02-12 18:22:24.829419,,65.9,68.5,476.0,15.7,139.0,20.4
